player_id,season,alter,tore_pro_spiel,tore_abs,assists_pro_spiel,assists_abs,rote_karten_pro_spiel,gelbe_karten_pro_spiel,gelb_rote_karten_pro_spiel,rote_karten_abs,gelbe_karten_abs,gelb_rote_karten_abs,startelf_pro_spiel,startelf_abs,minuten_pro_spiel,minuten_abs,anzahl_spiele,team_tore_pro_spiel,team_tore_abs,team_gegentore_pro_spiel,team_gegentore_abs,siege_pro_spiel,unentschieden_pro_spiel,niederlagen_pro_spiel,siege_abs,unentschieden_abs,niederlagen_abs,prozent_1_liga,prozent_pl,ziel_rating_avg_naechste_saison,position_Abwehr,position_Defensives Mittelfeld,position_Hängende Spitze,position_Innenverteidiger,position_Linker Verteidiger,position_Linkes Mittelfeld,position_Linksaußen,position_Mittelfeld,position_Mittelstürmer,position_Offensives Mittelfeld,position_Rechter Verteidiger,position_Rechtes Mittelfeld,position_Rechtsaußen,position_Sturm,position_Torwart,position_Zentrales Mittelfeld
33055,2020,34.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,84.5,845,10,2.2,22,1.1,11,0.7,0.1,0.2,7,1,2,0.0,0.0,6.873913043478261,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33055,2021,35.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,86.34782608695652,1986,23,1.9130434782608696,44,1.1304347826086956,26,0.6956521739130435,0.13043478260869565,0.17391304347826086,16,3,4,0.0,0.0,6.775862068965517,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33055,2022,36.0,0.034482758620689655,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,89.13793103448276,2585,29,1.8275862068965518,53,1.7586206896551724,51,0.4827586206896552,0.1724137931034483,0.3448275862068966,14,5,10,0.0,0.0,6.747999999999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33056,2023,36.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,59.34615384615385,1543,26,0.9230769230769231,24,1.0,26,0.38461538461538464,0.3076923076923077,0.3076923076923077,10,8,8,0.0,0.0,6.845833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33056,2024,37.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70.58333333333333,1694,24,0.875,21,0.9583333333333334,23,0.2916666666666667,0.20833333333333334,0.5,7,5,12,0.0,0.0,6.761538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33158,2021,35.0,0.125,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,82.45833333333333,1979,24,1.5,36,1.9166666666666667,46,0.3333333333333333,0.16666666666666666,0.5,8,4,12,0.0,0.0,6.5736842105263165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33347,2020,34.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,83.53846153846153,1086,13,1.3846153846153846,18,1.5384615384615385,20,0.15384615384615385,0.5384615384615384,0.3076923076923077,2,7,4,0.0,100.0,6.933333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33347,2021,35.0,0.05555555555555555,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,82.38888888888889,1483,18,1.4444444444444444,26,1.2777777777777777,23,0.5555555555555556,0.2777777777777778,0.16666666666666666,10,5,3,0.0,0.0,7.050000000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33347,2022,36.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,82.1923076923077,2137,26,1.8076923076923077,47,0.6153846153846154,16,0.6538461538461539,0.19230769230769232,0.15384615384615385,17,5,4,0.0,0.0,7.024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33508,2020,32.0,0.2,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,69.7,697,10,0.7,7,1.3,13,0.6,0.0,0.4,6,0,4,0.0,100.0,6.676470588235294,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33521,2022,34.0,0.037037037037037035,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,73.48148148148148,1984,27,1.1481481481481481,31,1.2222222222222223,33,0.37037037037037035,0.25925925925925924,0.37037037037037035,10,7,10,0.0,0.0,6.857692307692308,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33521,2023,35.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,73.1923076923077,1903,26,1.2692307692307692,33,0.5384615384615384,14,0.6153846153846154,0.23076923076923078,0.15384615384615385,16,6,4,0.0,0.0,6.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33718,2020,37.0,0.1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,76.9,769,10,1.1,11,1.0,10,0.3,0.4,0.3,3,4,3,0.0,100.0,7.027777777777778,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33771,2020,32.0,0.4666666666666667,7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,80.06666666666666,1201,15,1.3333333333333333,20,1.0666666666666667,16,0.13333333333333333,0.6,0.26666666666666666,2,9,4,0.0,100.0,6.922222222222222,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33771,2021,33.0,0.3888888888888889,7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,63.55555555555556,1144,18,1.7222222222222223,31,0.9444444444444444,17,0.6111111111111112,0.16666666666666666,0.2222222222222222,11,3,4,0.0,100.0,7.203571428571429,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34069,2022,38.0,0.03571428571428571,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,84.5,2366,28,1.4285714285714286,40,1.7142857142857142,48,0.35714285714285715,0.25,0.39285714285714285,10,7,11,0.0,0.0,7.041379310344827,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34069,2023,39.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,84.37931034482759,2447,29,1.3448275862068966,39,0.7931034482758621,23,0.5862068965517241,0.20689655172413793,0.20689655172413793,17,6,6,0.0,0.0,6.6625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37522,2024,36.0,0.21428571428571427,6,0.03571428571428571,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,89.53571428571429,2507,28,1.2142857142857142,34,1.6071428571428572,45,0.32142857142857145,0.21428571428571427,0.4642857142857143,9,6,13,0.0,0.0,6.982352941176471,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41326,2021,37.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,78.70833333333333,1889,24,1.5,36,1.25,30,0.5,0.08333333333333333,0.4166666666666667,12,2,10,0.0,0.0,6.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41326,2022,38.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,83.3125,1333,16,0.9375,15,1.125,18,0.3125,0.375,0.3125,5,6,5,0.0,0.0,6.723529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41326,2023,39.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52.11764705882353,886,17,0.47058823529411764,8,0.7058823529411765,12,0.35294117647058826,0.23529411764705882,0.4117647058823529,6,4,7,0.0,0.0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
